SMILES,INCHIKEY,dHm
COC1=C(C=CC(=C1)C=CC(=O)OC)O,AUJXJFHANFIVKH-UHFFFAOYSA-N,25.84
[H]N(C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],AUXGIIVHLRLBSG-UHFFFAOYSA-N,22.9
[H]c1c([H])c([N+]([O-])=O)c2c(c([H])c([H])c([H])c2c1[H])[N+]([O-])=O,AVCSMMMOCOTIHF-UHFFFAOYSA-N,22.2
ClC1(Cl)C(Cl)(Cl)C1(Cl)Cl,AVFQBLKYJWKKJP-UHFFFAOYSA-N,18.6
CC1=CC=C(C=C1)C(O)([C@@H](N)C1=CC=CC=C1)C1=CC=C(C)C=C1,AVPHDOYODMDEAY-NRFANRHFSA-N,11.3767
Brc1sc(Br)c(Br)c1Br,AVPWUAFYDNQGNZ-UHFFFAOYSA-N,21.1
[H]C([H])([H])N(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],AVQQQNCBBIEMEU-UHFFFAOYSA-N,13.833
C(CCCCCC#N)CCCCC#N,AVQYXBDAZWIFTO-UHFFFAOYSA-N,34.33
CC(CCC=C(C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,AVSXSVCZWQODGV-UHFFFAOYSA-N,15.9
C1C2=C(C=CC(=C2)Br)C3=C1C=C(C=C3)Br,AVXFJPFSWLMKSG-UHFFFAOYSA-N,22.39
CCCN(CC)C1=CC=C(C=C1)N=NC1=CC=C(C=C1)N=CC1=CC=C(C=C1)N(=O)=O,AWFMZTBSJLKGDX-UHFFFAOYSA-N,23.6
C1=CC=C2C=C(C=CC2=C1)C3=CC(=CC(=C3)C4=CC5=CC=CC=C5C=C4)C6=CC7=CC=CC=C7C=C6,AWIOMAWDKDFGDP-UHFFFAOYSA-N,42.26
C1=CC=C2C=NC=CC2=C1,AWJUIBRHMBBTKR-UHFFFAOYSA-N,9.399355
CCOC(=O)CCCCCOC1=CC=C(C=C1)N=NC1=CC=C(OCCCCCC(=O)OCC)C=C1,AWLOTKHOJPNOBG-UHFFFAOYSA-N,61.74
[H]c1c(nc(c([H])c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,AWNMZFMTHFYBIE-UHFFFAOYSA-N,22.0
